1,0,0,-1481,1481,0,0,-25024,25024,0,0,0,0,1,0
2,520,334,-1620,1286,0,5637,-27362,21724,0,0,0,0,1,0
3,1041,655,-1696,1041,0,11058,-28648,17590,0,0,0,0,1,0
4,1562,950,-1707,757,0,16053,-28833,12780,0,0,0,0,1,0
5,2083,1210,-1652,443,0,20432,-27910,7479,0,0,0,0,1,0
6,2604,1422,-1534,112,0,24025,-25915,1890,0,0,0,0,1,0
7,3125,1580,-1357,-223,0,26696,-22924,-3772,0,0,0,0,1,0
8,3645,1678,-1128,-550,0,28340,-19052,-9288,0,0,0,0,1,0
9,4166,1711,-855,-855,0,28895,-14448,-14448,0,0,0,0,1,0
10,4687,1678,-550,-1128,0,28340,-9288,-19052,0,0,0,0,1,0
11,5208,1580,-223,-1357,0,26696,-3772,-22924,0,0,0,0,1,0
12,5729,1422,112,-1534,0,24025,1890,-25915,0,0,0,0,1,0
13,6250,1210,443,-1652,0,20432,7479,-27910,0,0,0,0,1,0
14,6770,950,757,-1707,0,16053,12780,-28833,0,0,0,0,1,0
15,7291,655,1041,-1696,0,11058,17590,-28648,0,0,0,0,1,0
16,7812,334,1286,-1620,0,5637,21724,-27362,0,0,0,0,1,0
17,8333,0,1481,-1481,0,0,25024,-25024,0,0,0,0,1,0
18,8854,-334,1620,-1286,0,-5637,27362,-21724,0,0,0,0,1,0
19,9375,-655,1696,-1041,0,-11058,28648,-17590,0,0,0,0,1,0
20,9895,-950,1707,-757,0,-16053,28833,-12780,0,0,0,0,1,0
21,10416,-1210,1652,-443,0,-20432,27910,-7479,0,0,0,0,1,0
22,10937,-1422,1534,-112,0,-24025,25915,-1890,0,0,0,0,1,0
23,11458,-1580,1357,223,0,-26696,22924,3772,0,0,0,0,1,0
24,11979,-1678,1128,550,0,-28340,19052,9288,0,0,0,0,1,0
25,12500,-1711,855,855,0,-28895,14448,14448,0,0,0,0,1,0
26,13020,-1678,550,1128,0,-28340,9288,19052,0,0,0,0,1,0
27,13541,-1580,223,1357,0,-26696,3772,22924,0,0,0,0,1,0
28,14062,-1422,-112,1534,0,-24025,-1890,25915,0,0,0,0,1,0
29,14583,-1210,-443,1652,0,-20432,-7479,27910,0,0,0,0,1,0
30,15104,-950,-757,1707,0,-16053,-12780,28833,0,0,0,0,1,0
31,15625,-655,-1041,1696,0,-11058,-17590,28648,0,0,0,0,1,0
32,16145,-334,-1286,1620,0,-5637,-21724,27362,0,0,0,0,1,0
33,16666,0,-1481,1481,0,0,-25024,25024,0,0,0,0,1,0
34,17187,334,-1620,1286,0,5637,-27362,21724,0,0,0,0,1,0
35,17708,655,-1696,1041,0,11058,-28648,17590,0,0,0,0,1,0
36,18229,950,-1707,757,0,16053,-28833,12780,0,0,0,0,1,0
37,18750,1210,-1652,443,0,20432,-27910,7479,0,0,0,0,1,0
38,19270,1422,-1534,112,0,24025,-25915,1890,0,0,0,0,1,0
39,19791,1580,-1357,-223,0,26696,-22924,-3772,0,0,0,0,1,0
40,20312,1678,-1128,-550,0,28340,-19052,-9288,0,0,0,0,1,0
41,20833,1711,-855,-855,0,28895,-14448,-14448,0,0,0,0,1,0
42,21354,1678,-550,-1128,0,28340,-9288,-19052,0,0,0,0,1,0
43,21875,1580,-223,-1357,0,26696,-3772,-22924,0,0,0,0,1,0
44,22395,1422,112,-1534,0,24025,1890,-25915,0,0,0,0,1,0
45,22916,1210,443,-1652,0,20432,7479,-27910,0,0,0,0,1,0
46,23437,950,757,-1707,0,16053,12780,-28833,0,0,0,0,1,0
47,23958,655,1041,-1696,0,11058,17590,-28648,0,0,0,0,1,0
48,24479,334,1286,-1620,0,5637,21724,-27362,0,0,0,0,1,0
49,25000,0,1481,-1481,0,0,25024,-25024,0,0,0,0,1,0
50,25520,-334,1620,-1286,0,-5637,27362,-21724,0,0,0,0,1,0
51,26041,-655,1696,-1041,0,-11058,28648,-17590,0,0,0,0,1,0
52,26562,-950,1707,-757,0,-16053,28833,-12780,0,0,0,0,1,0
53,27083,-1210,1652,-443,0,-20432,27910,-7479,0,0,0,0,1,0
54,27604,-1422,1534,-112,0,-24025,25915,-1890,0,0,0,0,1,0
55,28125,-1580,1357,223,0,-26696,22924,3772,0,0,0,0,1,0
56,28645,-1678,1128,550,0,-28340,19052,9288,0,0,0,0,1,0
57,29166,-1711,855,855,0,-28895,14448,14448,0,0,0,0,1,0
58,29687,-1678,550,1128,0,-28340,9288,19052,0,0,0,0,1,0
59,30208,-1580,223,1357,0,-26696,3772,22924,0,0,0,0,1,0
60,30729,-1422,-112,1534,0,-24025,-1890,25915,0,0,0,0,1,0
61,31250,-1210,-443,1652,0,-20432,-7479,27910,0,0,0,0,1,0
62,31770,-950,-757,1707,0,-16053,-12780,28833,0,0,0,0,1,0
63,32291,-655,-1041,1696,0,-11058,-17590,28648,0,0,0,0,1,0
64,32812,-334,-1286,1620,0,-5637,-21724,27362,0,0,0,0,1,0
65,33333,0,-1481,1481,0,0,-25024,25024,0,0,0,0,1,0
66,33854,334,-1620,1286,0,5637,-27362,21724,0,0,0,0,1,0
67,34375,655,-1696,1041,0,11058,-28648,17590,0,0,0,0,1,0
68,34895,950,-1707,757,0,16053,-28833,12780,0,0,0,0,1,0
69,35416,1210,-1652,443,0,20432,-27910,7479,0,0,0,0,1,0
70,35937,1422,-1534,112,0,24025,-25915,1890,0,0,0,0,1,0
71,36458,1580,-1357,-223,0,26696,-22924,-3772,0,0,0,0,1,0
72,36979,1678,-1128,-550,0,28340,-19052,-9288,0,0,0,0,1,0
73,37500,1711,-855,-855,0,28895,-14448,-14448,0,0,0,0,1,0
74,38020,1678,-550,-1128,0,28340,-9288,-19052,0,0,0,0,1,0
75,38541,1580,-223,-1357,0,26696,-3772,-22924,0,0,0,0,1,0
76,39062,1422,112,-1534,0,24025,1890,-25915,0,0,0,0,1,0
77,39583,1210,443,-1652,0,20432,7479,-27910,0,0,0,0,1,0
78,40104,950,757,-1707,0,16053,12780,-28833,0,0,0,0,1,0
79,40625,655,1041,-1696,0,11058,17590,-28648,0,0,0,0,1,0
80,41145,334,1286,-1620,0,5637,21724,-27362,0,0,0,0,1,0
81,41666,0,1481,-1481,0,0,25024,-25024,0,0,0,0,1,0
82,42187,-334,1620,-1286,0,-5637,27362,-21724,0,0,0,0,1,0
83,42708,-655,1696,-1041,0,-11058,28648,-17590,0,0,0,0,1,0
84,43229,-950,1707,-757,0,-16053,28833,-12780,0,0,0,0,1,0
85,43750,-1210,1652,-443,0,-20432,27910,-7479,0,0,0,0,1,0
86,44270,-1422,1534,-112,0,-24025,25915,-1890,0,0,0,0,1,0
87,44791,-1580,1357,223,0,-26696,22924,3772,0,0,0,0,1,0
88,45312,-1678,1128,550,0,-28340,19052,9288,0,0,0,0,1,0
89,45833,-1711,855,855,0,-28895,14448,14448,0,0,0,0,1,0
90,46354,-1678,550,1128,0,-28340,9288,19052,0,0,0,0,1,0
91,46875,-1580,223,1357,0,-26696,3772,22924,0,0,0,0,1,0
92,47395,-1422,-112,1534,0,-24025,-1890,25915,0,0,0,0,1,0
93,47916,-1210,-443,1652,0,-20432,-7479,27910,0,0,0,0,1,0
94,48437,-950,-757,1707,0,-16053,-12780,28833,0,0,0,0,1,0
95,48958,-655,-1041,1696,0,-11058,-17590,28648,0,0,0,0,1,0
96,49479,-334,-1286,1620,0,-5637,-21724,27362,0,0,0,0,1,0
97,50000,0,-5243,1481,-3761,0,-2502,27026,0,0,0,0,1,0
98,50520,334,-6404,1286,-4784,6088,-2736,23462,0,0,0,0,1,0
99,51041,655,-6763,1041,-5067,11942,-2865,18997,0,0,0,0,1,0
100,51562,950,-6317,757,-4610,17337,-2883,13802,0,0,0,0,1,0
101,52083,1210,-5093,443,-3441,22066,-2791,8077,0,0,0,0,1,0
102,52604,1422,-3148,112,-1614,25947,-2592,2041,0,0,0,0,1,0
103,53125,1580,-569,-223,788,28831,-2292,-4073,0,0,0,0,1,0
104,53645,1678,2537,-550,3665,30607,-1905,-10031,0,0,0,0,1,0
105,54166,1711,6040,-855,6895,31207,-1445,-15603,0,0,0,0,1,0
106,54687,1678,9795,-1128,10345,30607,-929,-20576,0,0,0,0,1,0
